"table","item","metric_1","metric_2","metric_3","metric_4","metric_5","note"
"version","No predictor","six-stage pipeline + instruction BRAM + byte-lane data BRAM","baseline","simulation PASS","","",""
"version","BTB","No predictor + BTB","target prediction","simulation PASS","","",""
"version","BTB+PHT","BTB + 2-bit PHT","local branch direction","simulation PASS","","",""
"version","BTB+Gshare","BTB + GHR + Gshare","global-history branch direction","simulation PASS","","",""
"version","BTB+Gshare+RAS","BTB+Gshare + RAS","return target prediction","simulation PASS","","",""
"version","Hybrid","BTB + PHT + Gshare + Selector + RAS","hybrid branch prediction","simulation PASS","","",""
"version","Hybrid sync-reset","Hybrid + synchronous reset cleanup","REQP-1840 removed","simulation/implementation/board PASS","","","formal FPGA version"
"benchmark","branch_loop","No predictor 106/19","BTB 55/2","BTB+PHT 55/2","BTB+Gshare 67/6","Hybrid 55/2","cycle/mispredict"
"benchmark","call_return","No predictor 150/30","BTB 75/5","BTB+PHT 75/5","BTB+Gshare+RAS 84/8","Hybrid 75/5","cycle/mispredict"
"benchmark","memory_loop","No predictor 183/15","BTB 144/2","BTB+PHT 144/2","BTB+Gshare 156/6","Hybrid 144/2","cycle/mispredict"
"benchmark","mixed_workload","No predictor 179/24","BTB 122/5","BTB+PHT 122/5","BTB+Gshare+RAS 131/8","Hybrid 122/5","cycle/mispredict"
"benchmark","correlated_branch","No predictor 295/47","BTB 253/33","BTB+PHT 208/18","BTB+Gshare 178/8","Hybrid 169/5","cycle/mispredict"
"improvement","branch_loop","cycle_reduction 48.11%","mispredict_reduction 89.47%","Hybrid CPI 1.2791","Hybrid IPC 0.7818","accuracy 90.00%",""
"improvement","call_return","cycle_reduction 50.00%","mispredict_reduction 83.33%","Hybrid CPI 1.3889","Hybrid IPC 0.7200","accuracy 83.87%",""
"improvement","memory_loop","cycle_reduction 21.31%","mispredict_reduction 86.67%","Hybrid CPI 1.4400","Hybrid IPC 0.6944","accuracy 87.50%",""
"improvement","mixed_workload","cycle_reduction 31.84%","mispredict_reduction 79.17%","Hybrid CPI 1.4353","Hybrid IPC 0.6967","accuracy 80.00%",""
"improvement","correlated_branch","cycle_reduction 42.71%","mispredict_reduction 89.36%","Hybrid CPI 1.1419","Hybrid IPC 0.8757","accuracy 92.19%",""
"improvement","average","cycle_reduction 37.94%","mispredict_reduction 85.93%","","","",""
"fpga","Hybrid original","WNS 0.657 ns","LUT 2532","REG 3030","RAMB18 5","REQP-1840 present","50 MHz"
"fpga","Hybrid sync-reset","WNS 0.858 ns","LUT 2331","REG 3030","RAMB18 5","REQP-1840 removed","50 MHz"
"board","A7-LITE 100T","XC7A100T-FGG484-2L","Vivado 2023.2","led0 blink","led1 on","PASS","sync-reset Hybrid bitstream"


