"version","benchmark","cycle","instret","cpi","ipc","stall","flush","control","predict","btb_hit","mispredict","ras_hit","prediction_accuracy","result"
"No predictor","branch_loop","106","43","2.4651","0.4057","0","19","20","0","0","19","0","0.0500","PASS"
"No predictor","call_return","150","54","2.7778","0.3600","0","30","31","0","0","30","0","0.0323","PASS"
"No predictor","memory_loop","183","100","1.8300","0.5464","32","15","16","0","0","15","0","0.0625","PASS"
"No predictor","mixed_workload","179","85","2.1059","0.4749","16","24","25","0","0","24","0","0.0400","PASS"
"No predictor","correlated_branch","295","148","1.9932","0.5017","0","47","64","0","0","47","0","0.2656","PASS"
"BTB","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9000","PASS"
"BTB","call_return","75","54","1.3889","0.7200","0","5","31","31","31","5","0","0.8387","PASS"
"BTB","memory_loop","144","100","1.4400","0.6944","32","2","16","15","15","2","0","0.8750","PASS"
"BTB","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8000","PASS"
"BTB","correlated_branch","253","148","1.7095","0.5850","0","33","64","78","78","33","0","0.4844","PASS"
"BTB+PHT","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9000","PASS"
"BTB+PHT","call_return","75","54","1.3889","0.7200","0","5","31","31","31","5","0","0.8387","PASS"
"BTB+PHT","memory_loop","144","100","1.4400","0.6944","32","2","16","15","15","2","0","0.8750","PASS"
"BTB+PHT","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8000","PASS"
"BTB+PHT","correlated_branch","208","148","1.4054","0.7115","0","18","64","47","79","18","0","0.7188","PASS"
"BTB+Gshare","branch_loop","67","43","1.5581","0.6418","0","6","20","16","20","6","0","0.7000","PASS"
"BTB+Gshare","call_return","87","54","1.6111","0.6207","0","9","31","27","35","9","0","0.7097","PASS"
"BTB+Gshare","memory_loop","156","100","1.5600","0.6410","32","6","16","11","15","6","0","0.6250","PASS"
"BTB+Gshare","mixed_workload","134","85","1.5765","0.6343","16","9","25","19","26","9","0","0.6400","PASS"
"BTB+Gshare","correlated_branch","178","148","1.2027","0.8315","0","8","64","41","66","8","0","0.8750","PASS"
"BTB+Gshare+RAS","branch_loop","67","43","1.5581","0.6418","0","6","20","16","20","6","0","0.7000","PASS"
"BTB+Gshare+RAS","call_return","84","54","1.5556","0.6429","0","8","31","28","35","8","2","0.7419","PASS"
"BTB+Gshare+RAS","memory_loop","156","100","1.5600","0.6410","32","6","16","11","15","6","0","0.6250","PASS"
"BTB+Gshare+RAS","mixed_workload","131","85","1.5412","0.6489","16","8","25","20","26","8","2","0.6800","PASS"
"BTB+Gshare+RAS","correlated_branch","178","148","1.2027","0.8315","0","8","64","41","66","8","0","0.8750","PASS"
"Hybrid","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9000","PASS"
"Hybrid","call_return","75","54","1.3889","0.7200","0","5","31","31","31","5","0","0.8387","PASS"
"Hybrid","memory_loop","144","100","1.4400","0.6944","32","2","16","15","15","2","0","0.8750","PASS"
"Hybrid","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8000","PASS"
"Hybrid","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"


