"experiment_id","predictor","entries","pred_index_bits","ghr_bits","ras_depth","benchmark","cycle","instret","cpi","ipc","stall","flush","control","predict","btb_hit","mispredict","ras_hit","prediction_accuracy","result"
"P1","Hybrid","8","3","3","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"P1","Hybrid","8","3","3","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"P1","Hybrid","8","3","3","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"P1","Hybrid","8","3","3","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"P1","Hybrid","8","3","3","4","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"P1","Hybrid","8","3","3","4","branch_dense","632","134","4.7164","0.212","0","124","125","0","0","124","0","0.008","PASS"
"P2","Hybrid","16","4","4","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"P2","Hybrid","16","4","4","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"P2","Hybrid","16","4","4","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"P2","Hybrid","16","4","4","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"P2","Hybrid","16","4","4","4","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"P2","Hybrid","16","4","4","4","branch_dense","548","134","4.0896","0.2445","0","96","125","32","32","96","0","0.232","PASS"
"P3","Hybrid","32","5","5","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"P3","Hybrid","32","5","5","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"P3","Hybrid","32","5","5","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"P3","Hybrid","32","5","5","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"P3","Hybrid","32","5","5","4","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"P3","Hybrid","32","5","5","4","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"
"P4","Hybrid","64","6","6","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"P4","Hybrid","64","6","6","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"P4","Hybrid","64","6","6","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"P4","Hybrid","64","6","6","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"P4","Hybrid","64","6","6","4","correlated_branch","172","148","1.1622","0.8605","0","6","64","47","67","6","0","0.9062","PASS"
"P4","Hybrid","64","6","6","4","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"


