"experiment_id","predictor","entries","pred_index_bits","ghr_bits","ras_depth","benchmark","cycle","instret","cpi","ipc","stall","flush","control","predict","btb_hit","mispredict","ras_hit","prediction_accuracy","result"
"G1","Hybrid","32","5","2","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"G1","Hybrid","32","5","2","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"G1","Hybrid","32","5","2","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"G1","Hybrid","32","5","2","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"G1","Hybrid","32","5","2","4","correlated_branch","166","148","1.1216","0.8916","0","4","64","47","65","4","0","0.9375","PASS"
"G1","Hybrid","32","5","2","4","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"
"G2","Hybrid","32","5","4","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"G2","Hybrid","32","5","4","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"G2","Hybrid","32","5","4","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"G2","Hybrid","32","5","4","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"G2","Hybrid","32","5","4","4","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"G2","Hybrid","32","5","4","4","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"
"G3","Hybrid","32","5","6","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"G3","Hybrid","32","5","6","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"G3","Hybrid","32","5","6","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"G3","Hybrid","32","5","6","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"G3","Hybrid","32","5","6","4","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"G3","Hybrid","32","5","6","4","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"
"G4","Hybrid","32","5","8","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"G4","Hybrid","32","5","8","4","call_return","75","54","1.3889","0.72","0","5","31","31","31","5","0","0.8387","PASS"
"G4","Hybrid","32","5","8","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"G4","Hybrid","32","5","8","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"G4","Hybrid","32","5","8","4","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"G4","Hybrid","32","5","8","4","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"


