"experiment_id","predictor","btb_entries","pht_entries","gshare_entries","selector_entries","ghr_bits","ras_depth","benchmark","cycle","instret","cpi","ipc","stall","flush","control","predict","btb_hit","mispredict","ras_hit","prediction_accuracy","slice_luts","slice_registers","block_ram_tile","ramb18","dsp","wns_ns","tns_ns","whs_ns","ths_ns","fmax_mhz","total_power_w","result","note"
"P1","Hybrid","8","8","8","8","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"P2","Hybrid","16","16","16","16","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","baseline_v1_6","current sync-reset version"
"P3","Hybrid","32","32","32","32","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"P4","Hybrid","64","64","64","64","6","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"G1","Hybrid","32","32","32","32","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"G2","Hybrid","32","32","32","32","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"G3","Hybrid","32","32","32","32","6","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"G4","Hybrid","32","32","32","32","8","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"R1","Hybrid","32","32","32","32","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"R2","Hybrid","32","32","32","32","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"R3","Hybrid","32","32","32","32","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""
"R4","Hybrid","32","32","32","32","5","8","","","","","","","","","","","","","","","","","","","","","","","","","","pending",""


