"experiment_id","predictor","entries","pred_index_bits","ghr_bits","ras_depth","benchmark","cycle","instret","cpi","ipc","stall","flush","control","predict","btb_hit","mispredict","ras_hit","prediction_accuracy","result"
"R2","Hybrid","32","5","5","2","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"R2","Hybrid","32","5","5","2","call_return_long","145","124","1.1694","0.8552","0","5","31","28","28","5","9","0.8387","PASS"
"R2","Hybrid","32","5","5","2","call_return_nested","149","98","1.5204","0.6577","0","15","28","26","26","15","4","0.4643","PASS"
"R2","Hybrid","32","5","5","2","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"R2","Hybrid","32","5","5","2","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"R2","Hybrid","32","5","5","2","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"R2","Hybrid","32","5","5","2","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"
"R3","Hybrid","32","5","5","4","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"R3","Hybrid","32","5","5","4","call_return_long","145","124","1.1694","0.8552","0","5","31","28","28","5","9","0.8387","PASS"
"R3","Hybrid","32","5","5","4","call_return_nested","137","98","1.398","0.7153","0","11","28","22","22","11","8","0.6071","PASS"
"R3","Hybrid","32","5","5","4","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"R3","Hybrid","32","5","5","4","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"R3","Hybrid","32","5","5","4","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"R3","Hybrid","32","5","5","4","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"
"R4","Hybrid","32","5","5","8","branch_loop","55","43","1.2791","0.7818","0","2","20","20","20","2","0","0.9","PASS"
"R4","Hybrid","32","5","5","8","call_return_long","145","124","1.1694","0.8552","0","5","31","28","28","5","9","0.8387","PASS"
"R4","Hybrid","32","5","5","8","call_return_nested","137","98","1.398","0.7153","0","11","28","22","22","11","8","0.6071","PASS"
"R4","Hybrid","32","5","5","8","memory_loop","144","100","1.44","0.6944","32","2","16","15","15","2","0","0.875","PASS"
"R4","Hybrid","32","5","5","8","mixed_workload","122","85","1.4353","0.6967","16","5","25","23","23","5","0","0.8","PASS"
"R4","Hybrid","32","5","5","8","correlated_branch","169","148","1.1419","0.8757","0","5","64","47","66","5","0","0.9219","PASS"
"R4","Hybrid","32","5","5","8","branch_dense","338","134","2.5224","0.3964","0","26","125","101","101","26","0","0.792","PASS"


